Rank,Title,Author,Category,Sub-Genre,Format,Price (USD),Rating,Reviews,Weeks on List,Publisher,Year Published,ISBN,Amazon BSR,Amazon URL
489,Rising Dream,Paul Tremblay,Fiction,YA Romance,Hardcover,29.34,4.6,2780.0,15.0,NavPress,2020.0,978-8-18318-770-0,9475.0,View
490,Lost Throne,Robert Sapolsky,Non-Fiction,Creativity / Art,Audiobook,15.71,4.4,214.0,13.0,Scholastic Press,2026.0,978-8-62158-910-7,1672.0,View
491,Captain Chronicles,Frank Herbert,Fiction,Fantasy,Hardcover,26.14,4.4,4487.0,10.0,Scholastic Press,2026.0,978-9-61265-298-9,6096.0,View
492,Doctor Revealed,Malcolm Gladwell,Non-Fiction,True Crime,Paperback,12.65,4.3,2331.0,8.0,Howard Books,2019.0,978-8-76400-350-6,1266.0,View
493,The River Saga,Daniel Kahneman,Non-Fiction,Gift / Journal,Hardcover,21.31,4.6,831.0,9.0,"Little, Brown",2017.0,978-9-42763-185-2,7591.0,View
494,The Mountain Chronicles,Tony Robbins,Non-Fiction,Gift / Journal,Hardcover,17.06,3.8,1763.0,13.0,"Little, Brown",2023.0,978-8-75511-420-3,6260.0,View
495,The Beauty and Thunder,Anthony Ryan,Fiction,YA Dystopian,Paperback,16.82,4.8,4106.0,3.0,Scribner,2024.0,978-7-28332-866-8,7840.0,View
496,Storm Earth,Carmen Maria Machado,Fiction,Climate Fiction,Board Book,10.59,4.7,2108.0,8.0,Entangled: Red Tower Books,2022.0,978-2-31527-636-7,1152.0,View
497,The Nurse Untold,Bonnie Garmus,Fiction,Literary Fiction,Hardcover,24.72,4.7,1901.0,6.0,Gallery Books,2024.0,978-4-47249-940-6,6003.0,View
498,The Hate,Daniel Kahneman,Non-Fiction,Gift / Journal,Paperback,13.69,4.5,3187.0,6.0,Algonquin Books,2023.0,978-9-46338-926-9,8752.0,View
499,Never Signal,David Eddings,Fiction,YA Romance,Kindle Edition,7.82,4.2,1010.0,4.0,Hoover Ink,2023.0,978-6-72190-463-4,9550.0,View
500,The Ice of Stars,Isabel Wilkerson,Non-Fiction,Creativity / Art,Hardcover,19.3,4.4,3045.0,14.0,Convergent Books,2022.0,978-5-65584-318-9,4129.0,View
